내용,종류,수준
가게,낱말,
가고,낱말,
가는,낱말,
가니,낱말,
가라,낱말,
가령,낱말,
가룟,낱말,
가만,낱말,
가매,낱말,
가며,낱말,
가면,낱말,
가사,낱말,
가서,낱말,
가에,낱말,
가자,낱말,
가장,낱말,
가죽,낱말,
가지,낱말,
가진,낱말,
각각,낱말,
각종,낱말,
갈며,낱말,
갈새,낱말,
감람,낱말,
감사,낱말,
감히,낱말,
값진,낱말,
강도,낱말,
강한,낱말,
같고,낱말,
같다,낱말,
같은,낱말,
같이,낱말,
같지,낱말,
개나,낱말,
개를,낱말,
개와,낱말,
거기,낱말,
거의,낱말,
거저,낱말,
거지,낱말,
거짓,낱말,
걸어,낱말,
검과,낱말,
것과,낱말,
것도,낱말,
것은,낱말,
것을,낱말,
것이,낱말,
결코,낱말,
곁에,낱말,
계명,낱말,
계신,낱말,
계실,낱말,
고로,낱말,
곧게,낱말,
곳에,낱말,
곳은,낱말,
곳을,낱말,
곳의,낱말,
과연,낱말,
관한,낱말,
광야,낱말,
구름,낱말,
군대,낱말,
굴려,낱말,
굶겨,낱말,
권위,낱말,
귀가,낱말,
귀를,낱말,
귀신,낱말,
귀에,낱말,
그가,낱말,
그는,낱말,
그들,낱말,
그라,낱말,
그로,낱말,
그를,낱말,
그리,낱말,
그만,낱말,
그물,낱말,
그와,낱말,
그의,낱말,
글에,낱말,
글이,낱말,
급히,낱말,
기도,낱말,
기운,낱말,
기타,낱말,
길게,낱말,
길에,낱말,
길을,낱말,
깊이,낱말,
깊지,낱말,
깨고,낱말,
깨어,낱말,
꿇어,낱말,
꿰어,낱말,
끊고,낱말,
끌고,낱말,
끝은,낱말,
끝이,낱말,
끼어,낱말,
나가,낱말,
나간,낱말,
나갈,낱말,
나귀,낱말,
나는,낱말,
나도,낱말,
나되,낱말,
나드,낱말,
나로,낱말,
나를,낱말,
나며,낱말,
나무,낱말,
나서,낱말,
나와,낱말,
나은,낱말,
나의,낱말,
나중,낱말,
나지,낱말,
낚는,낱말,
날과,낱말,
날까,낱말,
날도,낱말,
날에,낱말,
날은,낱말,
날이,낱말,
낡은,낱말,
남은,낱말,
남지,낱말,
낫을,낱말,
내가,낱말,
내게,낱말,
내고,낱말,
내니,낱말,
내려,낱말,
내면,낱말,
내어,낱말,
내지,낱말,
너는,낱말,
너도,낱말,
너를,낱말,
너의,낱말,
너희,낱말,
널리,낱말,
넘겨,낱말,
넣고,낱말,
넣는,낱말,
넣어,낱말,
네가,낱말,
네게,낱말,
놀라,낱말,
높은,낱말,
놓고,낱말,
놓아,낱말,
놓여,낱말,
누가,낱말,
누운,낱말,
누워,낱말,
눈에,낱말,
눈을,낱말,
눈이,낱말,
능력,낱말,
능한,낱말,
능히,낱말,
다른,낱말,
다리,낱말,
다만,낱말,
다섯,낱말,
다시,낱말,
다한,낱말,
달라,낱말,
달려,낱말,
달아,낱말,
달이,낱말,
닭이,낱말,
당과,낱말,
당한,낱말,
당할,낱말,
대게,낱말,
대고,낱말,
대는,낱말,
대니,낱말,
대로,낱말,
대어,낱말,
대해,낱말,
더욱,낱말,
데나,낱말,
데려,낱말,
데로,낱말,
데에,낱말,
도로,낱말,
도를,낱말,
도와,낱말,
도울,낱말,
독을,낱말,
돈을,낱말,
돋은,낱말,
돋을,낱말,
돌로,낱말,
돌아,낱말,
돌을,낱말,
돌이,낱말,
동생,낱말,
되게,낱말,
되고,낱말,
되는,낱말,
되려,낱말,
되매,낱말,
되며,낱말,
되면,낱말,
되어,낱말,
두고,낱말,
두라,낱말,
두려,낱말,
두로,낱말,
두루,낱말,
두며,낱말,
두어,낱말,
둘러,낱말,
둘씩,낱말,
둘을,낱말,
둘이,낱말,
뒤로,낱말,
뒤를,낱말,
뒤에,낱말,
드는,낱말,
드려,낱말,
듣게,낱말,
듣고,낱말,
듣는,낱말,
듣지,낱말,
들린,낱말,
들을,낱말,
들지,낱말,
등경,낱말,
따라,낱말,
따로,낱말,
따를,낱말,
딸아,낱말,
딸을,낱말,
딸이,낱말,
땅에,낱말,
땅이,낱말,
때가,낱말,
때는,낱말,
때에,낱말,
떠나,낱말,
떡을,낱말,
떡이,낱말,
떨며,낱말,
떼가,낱말,
떼로,낱말,
떼를,낱말,
떼어,낱말,
또는,낱말,
뛰어,낱말,
뜯어,낱말,
뜻을,낱말,
띠고,낱말,
띠를,낱말,
라마,낱말,
렙돈,낱말,
마른,낱말,
마리,낱말,
마실,낱말,
마을,낱말,
마음,낱말,
마주,낱말,
마침,낱말,
막아,낱말,
만나,낱말,
만에,낱말,
만일,낱말,
만져,낱말,
만큼,낱말,
많아,낱말,
많은,낱말,
많이,낱말,
말고,낱말,
말과,낱말,
말도,낱말,
말라,낱말,
말며,낱말,
말씀,낱말,
말은,낱말,
말을,낱말,
말이,낱말,
말자,낱말,
맛을,낱말,
매여,낱말,
매우,낱말,
맹인,낱말,
맺되,낱말,
맺힌,낱말,
먹게,낱말,
먹고,낱말,
먹는,낱말,
먹던,낱말,
먹어,낱말,
먹은,낱말,
먹을,낱말,
먹지,낱말,
먼저,낱말,
멀지,낱말,
메고,낱말,
메워,낱말,
명씩,낱말,
명한,낱말,
몇이,낱말,
모독,낱말,
모든,낱말,
모여,낱말,
목에,낱말,
목자,낱말,
몸에,낱말,
몸을,낱말,
몸이,낱말,
몹시,낱말,
못한,낱말,
못할,낱말,
무덤,낱말,
무리,낱말,
무슨,낱말,
문득,낱말,
문안,낱말,
문에,낱말,
묻고,낱말,
묻는,낱말,
묻되,낱말,
물로,낱말,
물어,낱말,
물에,낱말,
물을,낱말,
뭍에,낱말,
미는,낱말,
미리,낱말,
믿게,낱말,
믿고,낱말,
믿는,낱말,
믿음,낱말,
믿지,낱말,
밀밭,낱말,
바깥,낱말,
바다,낱말,
바를,낱말,
바와,낱말,
바위,낱말,
박게,낱말,
박고,낱말,
박힌,낱말,
밖에,낱말,
받게,낱말,
받고,낱말,
받는,낱말,
받되,낱말,
받아,낱말,
받은,낱말,
받을,낱말,
받지,낱말,
발라,낱말,
발을,낱말,
발이,낱말,
밝기,낱말,
밝히,낱말,
밤낮,낱말,
밭에,낱말,
배가,낱말,
배나,낱말,
배는,낱말,
배로,낱말,
배를,낱말,
배에,낱말,
배의,낱말,
뱀을,낱말,
뱉어,낱말,
버려,낱말,
버린,낱말,
번째,낱말,
벌써,낱말,
벗은,낱말,
베고,낱말,
베어,낱말,
병든,낱말,
병이,낱말,
보게,낱말,
보고,낱말,
보니,낱말,
보라,낱말,
보러,낱말,
보면,낱말,
보자,낱말,
본즉,낱말,
부어,낱말,
부터,낱말,
부활,낱말,
불과,낱말,
불도,낱말,
불러,낱말,
불에,낱말,
불을,낱말,
빛을,낱말,
빼어,낱말,
뻬어,낱말,
사고,낱말,
사다,낱말,
사람,낱말,
사십,낱말,
사천,낱말,
사흘,낱말,
산에,낱말,
살게,낱말,
삼가,낱말,
삼백,낱말,
삼십,낱말,
삼아,낱말,
상과,낱말,
상을,낱말,
새벽,낱말,
생각,낱말,
생베,낱말,
생선,낱말,
서로,낱말,
서서,낱말,
서지,낱말,
선을,낱말,
선한,낱말,
섰는,낱말,
섰던,낱말,
성소,낱말,
성전,낱말,
세례,낱말,
세로,낱말,
세리,낱말,
셋을,낱말,
소금,낱말,
소리,낱말,
소유,낱말,
소출,낱말,
속에,낱말,
속여,낱말,
속한,낱말,
손에,낱말,
손을,낱말,
손이,낱말,
수만,낱말,
숨긴,낱말,
숨길,낱말,
쉬라,낱말,
슬픈,낱말,
시돈,낱말,
시장,낱말,
시집,낱말,
신고,낱말,
신만,낱말,
신성,낱말,
심긴,낱말,
심길,낱말,
심히,낱말,
싸서,낱말,
싹이,낱말,
썼고,낱말,
씨가,낱말,
씨를,낱말,
씻지,낱말,
아내,낱말,
아니,낱말,
아들,낱말,
아래,낱말,
아무,낱말,
아빠,낱말,
아이,낱말,
아주,낱말,
아직,낱말,
아하,낱말,
악을,낱말,
악한,낱말,
안고,낱말,
안식,낱말,
앉게,낱말,
앉는,낱말,
앉아,낱말,
앉은,낱말,
않게,낱말,
않고,낱말,
않는,낱말,
않다,낱말,
않은,낱말,
알게,낱말,
알고,낱말,
알과,낱말,
알라,낱말,
알아,낱말,
알지,낱말,
앓아,낱말,
앞서,낱말,
앞에,낱말,
얕은,낱말,
어느,낱말,
어디,낱말,
어떤,낱말,
어린,낱말,
어릴,낱말,
어찌,낱말,
언제,낱말,
얹어,낱말,
얻되,낱말,
얻어,낱말,
얻을,낱말,
얻지,낱말,
엄히,낱말,
없게,낱말,
없고,낱말,
없는,낱말,
없다,낱말,
없어,낱말,
없을,낱말,
없이,낱말,
엘리,낱말,
여겨,낱말,
여기,낱말,
여러,낱말,
여종,낱말,
역시,낱말,
엮어,낱말,
열두,낱말,
열둘,낱말,
열며,낱말,
열한,낱말,
엿새,낱말,
예수,낱말,
오고,낱말,
오는,낱말,
오늘,낱말,
오니,낱말,
오라,낱말,
오매,낱말,
오사,낱말,
오실,낱말,
오십,낱말,
오직,낱말,
오천,낱말,
옥에,낱말,
올라,낱말,
올새,낱말,
옳지,낱말,
옷도,낱말,
옷에,낱말,
옷을,낱말,
옷이,낱말,
와서,낱말,
와야,낱말,
왕을,낱말,
왕이,낱말,
외에,낱말,
요단,낱말,
요한,낱말,
우리,낱말,
울고,낱말,
울기,낱말,
울며,낱말,
위로,낱말,
위에,낱말,
위의,낱말,
유대,낱말,
육십,낱말,
음식,낱말,
이가,낱말,
이는,낱말,
이런,낱말,
이른,낱말,
이를,낱말,
이미,낱말,
이백,낱말,
이에,낱말,
이여,낱말,
이와,낱말,
이의,낱말,
이제,낱말,
이천,낱말,
이혼,낱말,
인의,낱말,
일곱,낱말,
일도,낱말,
일은,낱말,
일을,낱말,
일이,낱말,
읽는,낱말,
읽어,낱말,
읽지,낱말,
잃을,낱말,
잃지,낱말,
입고,낱말,
입은,낱말,
입을,낱말,
입지,낱말,
있게,낱말,
있고,낱말,
있는,낱말,
있다,낱말,
있어,낱말,
있은,낱말,
있을,낱말,
있지,낱말,
자가,낱말,
자고,낱말,
자기,낱말,
자는,낱말,
자니,낱말,
자들,낱말,
자라,낱말,
자로,낱말,
자를,낱말,
자색,낱말,
자손,낱말,
자야,낱말,
자에,낱말,
자여,낱말,
자와,낱말,
자요,낱말,
자의,낱말,
자주,낱말,
