타입,"내용(본문,문제)",보기1,보기2,보기3,보기4,정답번호
S,이상한 나라의 앨리스 - 토끼굴에 빠지다.,,,,,
T,"앨리스는 언니와 함께 시냇가 언덕 위에 앉아 있었습니다. 아무 할 일도 없어서 지루하기 짝이 없었습니다. 
언니가 읽고 있는 책을 한두 번 슬쩍 넘겨다보았지만, 그 책에는 그림도 대화도 없었습니다. 
'그림도 대화도 없는데, 시시한 책을 언니는 무슨 재미로 읽고 있는지 모르겠어.' 앨리스는 이상하게 생각했습니다. 
그 날은 몹시 더웠기 때문에 졸려서 머리가 멍했으므로 데이지 꽃으로 화환이라도 만들어 볼까 하고 
곰곰이 생각했습니다. '그렇지만, 일부러 꽃을 꺾으러 가는 것도 귀찮아.' 이렇게 생각하고 있을 때였습니다. 

별안간 분홍색 눈빛을 한 한 마리의 흰토끼가 앨리스 바로 옆을 깡충깡충 뛰어 지나갔습니다.",,,,,
T,"그것 만이었다면 그다지 놀랄 것도 없었습니다. 
""큰일났다, 큰일났어, 늦었으니."" 하고, 토끼가 혼자 중얼대고 있는 것을 들었을 때도 앨리스는 그것을 별달리 생각하지 않았습니다. 
그런데 토끼가 조끼 호주머니에서 회중시계를 끄집어내어 힐끔 시간을 보고는 또다시 당황하며 뛰어갔을 때는 앨리스도 깜짝 놀라지 않을 수 없었습니다. 
토끼가 조끼를 입는다거나, 호주머니에서 시계를 끄집어내는 따위를 아직 본 일이 없었기 때문입니다. 

이상하다는 생각이 든 앨리스는 토끼 뒤를 쫓아갔습니다. 그리하여 들판을 가로질러 울타리 밑에 있는 커다란 토끼 굴로 뛰어들어가는 것을 똑똑히 보았습니다. 
앨리스도 그 뒤를 쫓아 굴속으로 뛰어들어갔습니다. ",,,,,
T,"나중에 어떻게 이 굴을 빠져나올 수 있을까 하는 생각은 미처 하지도 않고…… 
토끼 굴은 얼마 동안 터널 모양으로 똑바로 뚫어져 있었습니다. 그런데 갑자기 내리막이 되어 미끄러지듯 내려가다가 그만 아래로 뚫린 굴에 떨어지고 말았습니다. 

""앗!"" 하고, 소리쳤을 때엔 이미 깊은 우물 같은 굴속으로 떨어져 갔습니다. 
그러나, 앨리스는 떨어져 내려가면서도 가만히 주위를 살펴볼 수가 있었습니다. 
그 굴은 굉장히 깊었던 모양이죠. '앞으로 무슨 일이 생길까?' 하고, 생각할 시간까지 있었습니다. 그래서 우선 밑을 내려다보았습니다. 

그러나 깜깜하여 아무것도 보이지 않았습니다. 굴 주위를 살펴보니 찬장과 책꽂이 등이 눈에 띄었습니다.",,,,,
T,"지도와 그림 등이 못에 걸려 있는 것도 보였습니다. 앨리스는 떨어져 내려가면서 찬장에서 병 한 개를 집었습니다. 
<오렌지 마멀레이드>라고 씌어진 상표가 붙어 있었습니다. '이것봐, 빈 병이구나.' 실망한 앨리스는 병을 버리려고 했습니다. 만일 밑에 누군가가 있으면 그야말로 큰일. 그래서 눈앞에 와 닿은 찬장 위에다 살짝 얹어놓았습니다. 그러고는 이렇게 생각했습니다. 
'그렇지. 내가 한 번 이렇게 떨어져 본 일이 있다면 모두들 정말 대담한 아이라고 감탄할거야.' 
아래로 아래로 자꾸만 떨어져 내려갔습니다. 언제까지 떨어지면 끝장이 날는지요. 

""벌써 몇 킬로미터나 떨어져 내려왔을까 몰라? 틀림없이 지구 중심 가까이까지 왔을 거야.",,,,,
T,"그러니까 가만 있자, 
어림잡아 6천 킬로미터는 떨어져 내려온 셈이로군."" 왜 앨리스가 이런 말을 했는가 하면, 그러한 것을 여러 가지 배워 왔기 때문이었습니다. 그렇지만 옆에 아무도 없으니 아는 체하기엔 적당한 시기라고 할 수 없었습니다. 
그러나 그런 셈을 해보는 것도 좋은 복습이 되는 것입니다. 
'그렇다면 이 근방의 위도와 경도는 얼마쯤 될까?' 앨리스는 위도나 경도에 대해서는 전혀 몰랐지만, 
그렇게 말을 해보니까 왠지 모르게 훌륭해진 것 같은 기분이 들었습니다.      

""이대로 끝까지 떨어져 내려가면, 지구를 꿰뚫고 말지도 모를 일이야. 머리를 아래로 하고 걷고 있는 사람들 틈에 느닷없이 나가게 된 다면 매우 우스울 거야, 틀림없이.",,,,,
T,"그런 사람들을 일컬어, 대…… 대조인이라 했던가?"" 
대조인이란 대척자(지구 저쪽에 사는 사람, 모두가 정반대인 사람)의 잘못으로서, 마침 아무도 듣고 있은 사람이 없어 
다행이구나, 하고 나중에야 깨달았던   것입니다. 
""그렇지만, 그 사람들에게 거기가 어느 나라냐고 물어 보지 않으면 안 된다. 저, 아주머니, 여기가 뉴질랜드예요, 오스트레일리아예요?"" 앨리스는 이렇게 지껄이면서 인사를 하려 들었습니다. 

자. 한번 생각해 보셔요. 공중에서 떨어져 내려가면서 인사를 하다니, 당신들인들 그런 짓을 할 것 같아요? 아래로 아래로 여전히 떨어져 가고 있었습니다. 
아무 할 일도 없고 하여, 또다시 혼잣말을 지껄이기 시작했습니다.",,,,,
T,"""오늘밤에 내가 없기 때문에 다이나가 몹시 쓸쓸해 할거야."" 다이나란 고양이를 말하는 것입니다. 
""짬짬이 누군가가 다이나에게 우유를 주는 것을 안 잊어 줬으면, 다이나, 네가 지금 여기에 있었으면 얼마나 좋겠니. 
공중에는 쥐는 없지만 박쥐라면 잡을 수 있어. 박쥐는 쥐와 꼭 닮았지. 
그렇지만 고양이가 박쥐를 먹을지 몰라?"" 앨리스는 차츰 졸리기 시작했습니다. 그래서 꾸벅꾸벅 졸면서 그대로 
지껄였습니다. ""고양이는 박쥐를 먹을지 몰라…… 고양이는 박쥐를 먹을지 몰라……"" 이렇게 말하는가 했더니, 
""박쥐는 고양이를 먹을지 몰라……"" 하기도 하더니, 어느 새 콜콜 코를 골기 시작했습니다. 

그러자 앨리스는 다이나와 손을 잡고 노는 꿈을 꾸었습니다.",,,,,
T,"""다이나, 너는 박쥐를 먹어 본 적이 있니? 
바른 대로 말해 주렴."" 하고 말했을 때였습니다. 별안간 푹! 하고 마른 잎더미 위에 떨어졌습니다. 
떨어져 내려가는 것은 이제 가까스로 끝난 것입니다. 상처는 한 군데도 나지 않았습니다. 

앨리스는 이내 일어섰습니다. 위쪽을 쳐다보니 캄캄했습니다. 앞쪽엔 길게 뻗은 길이 있었습니다. 
조금 전의 그 흰토끼가 재빨리 뛰어가고 있는 것이 보였습니다. 앨리스는 그 뒤를 쫓았습니다. 
토끼가 어느 골목 모퉁이를 돌 때, ""큰일났어, 정말 너무 늦어버렸어!"" 하는 소리를 간신히 들을 수가 있었습니다. 

그런데 모퉁이를 돌 때까지는 바로 뒤를 쫓고 있었는데, 그 모퉁이를 돌아가 보니까",,,,,
T,"이미 토끼의 모습은 보이지 않았습니다. 그것은 천장이 얕은 기다란 넓은 방안이었습니다. 천장에 매달려 있는 한 줄의 램프가 
방안을 환히 비춰 주고 있었습니다. 넓은 방 안 벽에는 문이 몇 개나 있었습니다. 그러나 어느 창문이고 자물쇠가 채워져 있었습니다. 

'어떻게 하면 밖으로 나갈 수가 있을까?"" 앨리스는 은근히 걱정이 되었습니다. 맥없이 방 한가운데에 와보니 거기엔 세 발 유리 테이블이 놓여 있었습니다. 그 위에 단 한 개의 작은 황금열쇠가 얹혀 있었습니다. 
'틀림없이 이 열쇠가 어느 자물쇠엔가에 맞을지도 몰라.' 
그러나 어쩌랴! 그 황금열쇠는 어느 자물쇠에도 맞질 않았으니까요. 그래도 단념하지 않고 다시 한 번 돌리고 있을 때,",,,,,
